"date","open","high","low","close","volume"
2022-12-19,27450,27650,27100,27600,1016037
2022-12-16,27950,28300,27200,27450,1877911
2022-12-15,28550,29100,28300,28400,1766338
2022-12-14,28150,28700,27700,28550,1479027
2022-12-13,28650,28850,27950,28000,1969831
2022-12-12,27950,28650,27450,28400,2633973
2022-12-09,27850,28250,27150,27600,2617405
2022-12-08,28550,28700,27700,27800,2436742
2022-12-07,29250,29450,28400,28500,2582903
2022-12-06,29200,29700,28800,29200,2342991
2022-12-05,30300,30750,29350,29600,3487644
2022-12-02,32000,32250,29800,30150,5795039
2022-12-01,31000,32300,30900,32000,4874778
2022-11-30,31100,32000,30800,31850,4866092
2022-11-29,29800,31200,29750,31000,6046685
2022-11-28,30200,30500,29650,29700,2482008
2022-11-25,29900,30250,29000,30200,4271057
2022-11-24,29850,30100,29550,30000,3107458
2022-11-23,29100,30350,28750,29900,11255060
2022-11-22,29000,29200,28450,28850,4387215
2022-11-21,27800,29600,27750,29150,16144080
2022-11-18,28350,29300,27350,27350,11360799
2022-11-17,27800,29500,26700,28050,25930518
2022-11-16,25850,26600,25250,26600,7036601
2022-11-15,25550,25950,25050,25300,1840586
2022-11-14,25750,25750,24700,25250,2276318
2022-11-11,26500,26550,25600,25700,2761315
2022-11-10,24450,26500,24450,25600,5167070
2022-11-09,25150,25150,24400,24700,1284433
2022-11-08,24400,25000,24400,24900,1344045
2022-11-07,25250,25250,24250,24300,1784778
2022-11-04,24700,25250,24650,25000,1358010
2022-11-03,24300,25050,24050,24850,1507028
2022-11-02,25300,25750,24650,24800,2229939
2022-11-01,24500,25650,24250,25500,2623709
2022-10-31,24200,24500,23750,24350,1301910
2022-10-28,23750,24400,23550,23850,1450124
2022-10-27,23250,23950,23050,23900,1532704
2022-10-26,23800,24050,23150,23200,1396948
2022-10-25,24100,24150,23450,23650,1198948
2022-10-24,23950,24600,23900,23950,1592393
2022-10-21,24050,24250,23500,23550,1016767
2022-10-20,24250,24800,23950,24000,1731992
2022-10-19,24700,24800,24050,24100,1610681
2022-10-18,24650,24700,24100,24450,1583779
2022-10-17,23750,24250,23300,24200,1776931
2022-10-14,24100,24750,23950,24200,2387437
2022-10-13,24550,24600,23500,23500,2301715
2022-10-12,24650,25200,23500,24700,2945921
2022-10-11,24750,25450,24400,24800,2446202
2022-10-07,26350,26350,25150,25200,2849194
2022-10-06,26750,26800,26300,26550,1278571
2022-10-05,27500,27500,26300,26550,2632510
2022-10-04,25950,27100,25650,26950,3938335
2022-09-30,25950,26550,24400,25300,4830006
2022-09-29,25900,27300,25700,26150,4981199
2022-09-28,26700,27000,25200,25450,4073434
2022-09-27,27100,27500,26150,26700,3431899
2022-09-26,27150,27950,26250,26950,5951813
2022-09-23,29000,29600,27100,27150,4973171
2022-09-22,29050,29300,28300,29050,3467114
2022-09-21,28450,29100,28150,28850,2986619
2022-09-20,27900,28650,27800,28450,2648816
2022-09-19,28200,28800,27350,27700,3616022
2022-09-16,27900,28600,27650,27850,3149365
2022-09-15,28600,29250,27950,28100,3180734
2022-09-14,27750,28600,27600,28450,3038188
2022-09-13,29550,29600,27350,28450,6611538
2022-09-08,29200,29750,28800,29300,3475555
2022-09-07,29900,30550,28550,29050,6125085
2022-09-06,30500,30550,29750,29900,3567614
2022-09-05,30300,30650,29700,30500,4622247
2022-09-02,30050,30300,29050,30200,5138416
2022-09-01,29850,30750,29550,29850,5809768
2022-08-31,29250,30500,28700,30300,8990933
2022-08-30,30850,31000,29200,29450,7899572
2022-08-29,29950,31700,29900,30100,11932377
2022-08-26,32700,32850,30150,30550,12602955
2022-08-25,31450,31900,30400,31150,12636684
2022-08-24,27350,31950,27250,31400,34853568
2022-08-23,26150,27250,26100,26800,7077764
2022-08-22,25800,26400,25550,26250,2807247
2022-08-19,25900,26900,25700,26050,6043818
2022-08-18,25800,26500,25500,25750,4669665
2022-08-17,25500,25900,25200,25800,2573411
2022-08-16,26000,26550,25550,25600,4612907
2022-08-12,25150,26650,25100,25550,6511380
2022-08-11,25150,25450,24800,25050,2550052
2022-08-10,24650,25300,24600,24700,2055538
2022-08-09,25600,25850,24800,24850,3908085
2022-08-08,24700,25850,24450,25700,5568646
2022-08-05,24400,24750,24050,24650,3548773
2022-08-04,25550,25600,24250,24400,4669106
2022-08-03,25700,25800,24850,25100,4548111
2022-08-02,26150,26900,25500,25600,7918874
2022-08-01,26450,26900,25900,25900,5901512
2022-07-29,25350,26850,24900,26550,15951347
2022-07-28,25350,26500,24600,24950,11215232
2022-07-27,25650,25900,24050,25000,13917584
2022-07-26,25050,26300,24800,25300,13799507
2022-07-25,24450,25350,24200,25050,16464385
2022-07-22,20800,24550,20800,24400,31111778
2022-07-21,20000,20350,19900,20200,836904
2022-07-20,20650,20700,19800,19950,1685948
2022-07-19,20950,21050,20250,20600,2918673
2022-07-18,19500,20250,19300,20000,1716158
2022-07-15,18500,19450,18150,19200,1352128
2022-07-14,17950,18600,17950,18500,674965
2022-07-13,18050,18500,17700,18200,813282
2022-07-12,18700,18800,18050,18150,931907
2022-07-11,19400,19450,18800,18900,749521
2022-07-08,19700,19950,19150,19300,1477123
2022-07-07,18900,19100,18450,19050,844123
2022-07-06,19400,19700,18750,18800,918850
2022-07-05,19300,19650,18650,19600,1093224
2022-07-04,21250,21300,18900,19300,2541365
2022-07-01,21250,21550,20600,20900,1656353
2022-06-30,21300,21500,20450,20800,1519800
2022-06-29,20750,21700,20700,21100,1743437
2022-06-28,20050,21200,20000,21100,1690618
2022-06-27,19250,20150,19100,19900,1032518
2022-06-24,18650,19100,18450,18900,920312
2022-06-23,19150,19400,18300,18400,1845875
2022-06-22,20450,20450,19200,19250,1481804
2022-06-21,20050,20500,19600,20250,1136351
2022-06-20,20250,20650,19850,20000,1773187
2022-06-17,19150,20200,19000,19900,1858497
2022-06-16,20650,20850,19800,19850,2369719
2022-06-15,22050,22150,20200,20250,4093581
2022-06-14,21900,22400,21600,22350,3080038
2022-06-13,22550,23000,21900,22150,4034813
2022-06-10,22600,23450,22500,22800,4985635
2022-06-09,21250,23300,21200,22850,16607375
2022-06-08,22300,22600,20800,21050,7461549
2022-06-07,19750,20450,19700,20250,2057566
2022-06-03,19500,19600,19250,19600,448229
2022-06-02,19400,19500,19100,19500,524542
2022-05-31,19050,19350,18950,19350,696333
2022-05-30,18750,19000,18750,18900,381923
2022-05-27,18600,18650,18300,18550,290442
2022-05-26,18400,18600,18400,18450,278131
2022-05-25,18250,18500,18100,18400,254225
2022-05-24,18400,18500,18100,18150,275765
2022-05-23,18350,18450,18250,18400,277362
2022-05-20,17950,18300,17850,18300,269405
2022-05-19,17750,18000,17750,17800,347054
2022-05-18,18550,18600,18150,18300,318341
2022-05-17,18250,18500,18200,18450,303406
2022-05-16,18450,18450,18150,18200,290542
2022-05-13,17900,18550,17850,18250,410244
2022-05-12,18000,18200,17650,17800,535704
2022-05-11,18450,18550,18250,18300,353084
2022-05-10,18200,18600,17900,18500,526399
2022-05-09,19050,19200,18500,18500,692732
2022-05-06,18900,19200,18800,19150,365546
2022-05-04,19100,19150,18900,19050,356433
2022-05-03,19150,19250,19050,19050,266451
2022-05-02,18900,19400,18900,19100,439140
2022-04-29,19050,19150,18900,19050,282944
2022-04-28,18850,19100,18700,19050,330453
2022-04-27,18500,18900,18500,18800,400016
2022-04-26,18900,19200,18900,19000,324987
2022-04-25,19050,19150,18800,18850,467155
2022-04-22,19500,19550,19300,19450,305238
2022-04-21,19250,19650,19200,19600,492076
2022-04-20,19300,19350,19150,19250,277649
2022-04-19,19100,19300,19050,19300,282186
2022-04-18,19100,19250,18950,19100,289682
2022-04-15,19100,19200,18900,19200,284354
2022-04-14,19250,19350,19050,19200,312477
2022-04-13,19150,19350,19100,19150,467535
2022-04-12,18750,18900,18700,18800,356245
2022-04-11,19100,19100,18850,18950,346480
2022-04-08,19100,19200,18900,19100,319995
2022-04-07,19200,19350,19000,19050,432421
2022-04-06,19700,19750,19250,19400,592729
2022-04-05,20000,20050,19800,19850,308330
2022-04-04,20000,20150,19850,19950,366206
2022-04-01,20250,20300,20000,20050,358528
2022-03-31,19950,20750,19950,20350,1030461
2022-03-30,19950,20200,19800,19850,451306
2022-03-29,20450,20450,19900,19950,501557
2022-03-28,20100,20350,19950,20300,373672
2022-03-25,20200,20550,20100,20150,760904
2022-03-24,19750,20100,19650,20100,485959
2022-03-23,20050,20050,19750,19850,363751
2022-03-22,19850,20100,19650,19900,460847
2022-03-21,19900,20050,19700,19800,446697
2022-03-18,19550,19750,19400,19750,417135
2022-03-17,19500,19700,19400,19400,442949
2022-03-16,19100,19350,18950,19300,426029
2022-03-15,19250,19300,18900,18950,367323
2022-03-14,19550,19900,19250,19300,547274
2022-03-11,19050,19700,19050,19700,572832
2022-03-10,19500,19750,18800,19150,1067678
2022-03-08,19700,19900,19250,19550,457211
2022-03-07,20250,20250,19900,19900,528853
2022-03-04,20100,20350,19850,20250,481928
2022-03-03,20250,20250,19800,20150,497022
2022-03-02,20100,20300,19950,20150,752523
2022-02-28,19600,20100,19500,19800,985413
2022-02-25,19250,19500,19100,19400,615889
2022-02-24,19150,19550,18850,19000,760057
2022-02-23,18950,19500,18850,19450,574844
2022-02-22,19100,19100,18750,18850,508895
2022-02-21,18900,19200,18700,19200,307007
2022-02-18,18600,19150,18550,19100,368389
2022-02-17,19050,19250,18600,18850,635148
2022-02-16,18450,19050,18400,19050,469117
2022-02-15,18400,18650,18050,18150,468593
2022-02-14,18650,18800,18200,18350,481650
2022-02-11,18800,19100,18650,18850,496902
2022-02-10,19450,19450,19050,19100,426055
2022-02-09,19250,19450,19150,19350,328779
2022-02-08,19200,19500,18900,19100,462724
2022-02-07,19300,19350,18800,19150,488911
2022-02-04,18800,19250,18800,19250,533798
2022-02-03,18900,19250,18900,19000,647522
2022-01-28,17950,18650,17650,18600,788160
2022-01-27,18750,18950,17800,17850,1137941
2022-01-26,18850,19150,18700,18750,785330
2022-01-25,19500,19600,18800,18900,1016915
2022-01-24,19750,20000,19200,19300,1050035
2022-01-21,20800,20900,19900,20000,2071795
2022-01-20,20600,21400,20600,21400,732154
2022-01-19,20950,21350,20550,20800,907260
2022-01-18,22200,22400,21250,21350,1330655
2022-01-17,22750,23000,22150,22450,1155542
2022-01-14,22400,22650,22100,22450,899182
2022-01-13,21900,22800,21850,22450,1772673
2022-01-12,21650,21750,21350,21700,604323
2022-01-11,21700,21850,21500,21550,643936
2022-01-10,21500,22100,21450,21550,1177965
2022-01-07,21200,21450,21050,21400,509011
2022-01-06,21200,21600,21050,21150,916940
2022-01-05,21150,21350,21000,21350,601989
2022-01-04,21300,21450,21050,21300,582369
2022-01-03,21000,21400,21000,21250,757377
2021-12-30,21050,21050,20700,20800,476815
2021-12-29,20450,21200,20350,21050,961433
2021-12-28,20550,20600,20300,20400,640378
2021-12-27,20600,20900,20500,20500,702297
2021-12-24,20450,20700,20400,20550,463367
2021-12-23,20250,20400,20150,20350,362089
2021-12-22,20300,20400,20150,20200,307275
2021-12-21,20300,20600,20150,20200,412651
2021-12-20,20700,20700,20150,20200,444999
2021-12-17,20500,20900,20400,20800,365344
2021-12-16,20850,20850,20450,20650,322895
2021-12-15,20850,20850,20500,20600,338011
2021-12-14,20900,21150,20650,20850,348775
2021-12-13,21150,21400,20900,20900,500834
2021-12-10,20950,21100,20750,21100,316790
2021-12-09,20900,21500,20900,21050,808056
2021-12-08,21050,21150,20600,20750,572155
2021-12-07,20700,21050,20450,20900,535076
2021-12-06,20350,20750,20200,20600,483201
2021-12-03,20300,20700,20100,20600,818336
2021-12-02,19500,20150,19150,20100,1064040
2021-12-01,18900,19400,18600,19300,977837
2021-11-30,19950,20050,18700,18900,1409999
2021-11-29,19400,20100,19300,19800,1067840
2021-11-26,21200,21200,20250,20300,974707
2021-11-25,20950,21300,20900,21150,409947
2021-11-24,21200,21300,20900,21000,504037
2021-11-23,21150,21650,21150,21200,492629
2021-11-22,21300,21350,20750,21350,799635
2021-11-19,21200,21400,21000,21150,515872
2021-11-18,21100,21400,20850,21200,514256
2021-11-17,21900,21900,21150,21150,661262
2021-11-16,21900,21900,21500,21850,552074
2021-11-15,21600,21900,21300,21700,587781
2021-11-12,21050,21500,21000,21300,537225
2021-11-11,20600,21300,20500,21050,991966
2021-11-10,21200,21350,20700,20750,904034
2021-11-09,21850,22000,21300,21400,628332
2021-11-08,21600,21800,21050,21800,610455
2021-11-05,21750,21950,21150,21500,836733
2021-11-04,22050,22350,21650,21750,636301
2021-11-03,22400,22450,21800,21800,671379
2021-11-02,22000,22350,22000,22300,574188
2021-11-01,22600,22700,21950,21950,1047262
2021-10-29,22850,22900,22500,22500,791301
2021-10-28,22900,23050,22750,22750,784295
2021-10-27,23850,23850,22800,22950,1633054
2021-10-26,23700,23900,23550,23900,570122
2021-10-25,23550,23650,23100,23600,637079
2021-10-22,23650,23900,23400,23700,658317
2021-10-21,24050,24050,23600,23600,600188
2021-10-20,23800,24000,23500,23900,666376
2021-10-19,24000,24200,23700,23800,563726
2021-10-18,23900,24200,23500,23850,691516
2021-10-15,23700,24100,23400,23850,967871
2021-10-14,23450,23700,23400,23550,584262
2021-10-13,22900,23600,22900,23200,789704
2021-10-12,22850,23200,22850,22900,798402
2021-10-08,23350,23600,22650,22950,1020666
2021-10-07,22650,23150,22500,22950,869670
2021-10-06,23600,23750,22450,22550,1624294
2021-10-05,24000,24400,23450,23450,1648380
2021-10-01,23850,24450,23750,23850,1266783
2021-09-30,25000,25200,24150,24200,1862141
2021-09-29,23700,24200,23600,24100,1430504
2021-09-28,24800,25100,24400,24450,1490086
2021-09-27,25400,25800,24800,25150,2733835
2021-09-24,24000,25200,23400,24700,3605447
2021-09-23,24000,24000,23500,23700,997864
2021-09-17,24150,24250,23750,24100,927072
2021-09-16,24550,24650,24050,24150,890471
2021-09-15,24500,24800,24300,24450,876769
2021-09-14,24550,25250,24550,24600,1156025
2021-09-13,24850,24950,24100,24500,1228600
2021-09-10,24800,25100,24050,24700,1536381
2021-09-09,25650,25800,24700,24900,1698962
2021-09-08,25000,25900,24950,25450,2423630
2021-09-07,26600,26600,25650,26050,1841402
2021-09-06,26300,26700,26150,26500,1180226
2021-09-03,26650,26650,26150,26250,1164088
2021-09-02,26200,26850,25800,26500,2310579
2021-09-01,26700,26900,25850,26150,1931810
2021-08-31,26350,26700,26000,26600,2691543
2021-08-30,26250,26900,25750,25800,3412906
2021-08-27,25550,26350,25550,25800,2608837
2021-08-26,24050,26200,24000,25700,6283336
2021-08-25,24050,24450,23750,24100,1251883
2021-08-24,23900,24200,23600,23950,1155044
2021-08-23,23100,23500,22850,23250,1215132
2021-08-20,23250,23550,22500,22600,1524807
2021-08-19,23650,24350,23100,23100,1573896
2021-08-18,23350,24150,23300,23850,915065
2021-08-17,24500,24500,23400,23650,1662185
2021-08-13,24800,24900,23800,24600,1642435
2021-08-12,24400,25150,24400,24700,1597300
2021-08-11,24800,25200,24450,24500,2940397
2021-08-10,26350,26400,25250,25600,3223212
2021-08-09,27000,27500,26200,26750,4286888
2021-08-06,25550,26650,25400,26600,5186679
2021-08-05,25450,26000,25150,25200,2042306
2021-08-04,25000,25500,24850,25400,1996029
2021-08-03,24900,25200,24550,25050,1830067
2021-08-02,24600,24950,24200,24850,1919922
2021-07-30,24350,24900,24050,24850,2826954
2021-07-29,24200,24350,23950,24250,1082250
2021-07-28,24000,24500,23450,24150,3037973
2021-07-27,22900,24650,22750,23800,5859277
2021-07-26,23100,23200,22600,22800,919999
2021-07-23,22750,22950,22500,22800,716507
2021-07-22,22450,22700,22350,22650,778025
2021-07-21,22750,22750,22250,22300,919021
2021-07-20,21950,22700,21950,22550,1388186
2021-07-19,22450,22450,22100,22200,1100949
2021-07-16,22950,23250,22700,22750,1063316
2021-07-15,22650,22800,22550,22650,786578
2021-07-14,22900,22950,22550,22550,1375157
2021-07-13,23200,23600,23050,23100,908591
